                                                                                                                                                        CODIGO
           MARCA                              MODELO                         INDUSTRIA                          Nº DE SERIE                         APROBACION                   Vigente desde                          TIPO
            ANCA                         CVDV Versión 2                        argentina                           CJR0009                         DNCI Nº 625/08            19/11/15 al 18/11/16                       FIJO
            ANCA                         CVDV Versión 2                        argentina                           CJR0009                         DNCI N° 625/08           24/ 08/16 al 23/08/17                       FIJO
            ANCA                         CVDV Versión 2                        argentina                           CJR0010                         DNCI Nº 625/08            05/04/16 al 04/04/17                       FIJO
            ANCA                         CVDV Versión 2                        argentina                           CJR0010                         DNCI Nº 625/08            15/02/17 al 14/02/18                       FIJO
            ANCA                         CVDV Versión 2                        argentina                           CJR0011                         DNCI Nº 625/08            19/11/15 al 18/11/16                       FIJO
            ANCA                         CVDV Versión 2                        argentina                           CJR0011                         DNCI N° 625/08           24/ 08/16 al 23/08/17                       FIJO
            ANCA                         CVDV Versión 2                        argentina                           CJR0012                         DNCI Nº 625/08            01/02/16 al 31/01/17                       FIJO
            ANCA                         CVDV Versión 2                        argentina                           CJR0012                         DNCI Nº 625/08            28/12/16 al 27/12/17                       FIJO
            ANCA                         CVDV Versión 2                        argentina                           CJR0013                         DNCI Nº 625/08            14/12/15 al 13/12/16                       FIJO
            ANCA                         CVDV Versión 2                        argentina                           CJR0013                         DNCI Nº 625/08            04/11/16 al 03/11/17                       FIJO
            ANCA                         CVDV Versión 2                        argentina                           CJR0014                         DNCI Nº 625/08            04/03/16 al 03/03/17                       FIJO
            ANCA                         CVDV Versión 2                        argentina                           CJR0014                         DNCI Nº 625/08            28/12/16 al 27/12/17                       FIJO
            ANCA                         CVDV Versión 2                        argentina                           CJR0015                         DNCI Nº 625/08            16/09/14 al 15/09/15                       FIJO
            ANCA                         CVDV Versión 2                        argentina                           CJR0015                         DNCI Nº 625/08            14/02/17 al 13/02/18                       FIJO
            ANCA                         CVDV Versión 2                        argentina                           CJR0016                         DNCI Nº 625/08            30/11/15 al 29/11/16                       FIJO
